E540_030.PTP	0	0	 	>月光館学園{0A} 生徒会室⋯	;>月光馆学园{0A} 学生会室……
E540_030.PTP	0	1	 	>小田桐と教師が話している。	;>小田桐在和老师交谈。
E540_030.PTP	0	2	 	教師{0A}じゃあ小田桐、期待している。{0A}⋯お互いのためにな。	;老师{0A}那么小田桐，我期待你的表现。{0A}……这也是为了我们彼此嘛。
E540_030.PTP	1	0	生徒会 書記男子	⋯おい、なんだよ今の?{0A}"お互いのため"って、どういう事だ?	;……喂，刚刚那是什么意思啊？{0A}“为了我们彼此”是指什么？
E540_030.PTP	2	0	小田桐 秀利	より良い学園生活を望む教師が{0A}適性のある生徒に協力を要請しただけのこと。	;只是希望学校生活变得更好的老师{0A}在向合适的同学寻求协助而已了。
E540_030.PTP	2	1	小田桐 秀利	生徒会長が{F1 0A}君を{0A}手伝いとして呼んでいるように、ね。	;就和学生会长请{F1 0A}君来帮忙{0A}是一个道理呢。
E540_030.PTP	3	0	生徒会 書記男子	勝手に仕切んなっての!{0A}生徒会長に相談も無しにあんな事⋯!	;擅自去做这种事情，{0A}都不先去和学生会长商量一下吗……！
E540_030.PTP	4	0	<SELECT>	何があった?	;怎么了？
E540_030.PTP	4	1	<SELECT>	ケンカはやめろ	;不要吵架。
E540_030.PTP	5	0	伏見 千尋	だ、男子トイレでタバコの吸殻が⋯{0A}見つかった、らしいんです⋯	;好，好像是在男生厕所看到{0A}有人在吸烟……
E540_030.PTP	5	1	伏見 千尋	それで⋯そ、その⋯犯人探しを{0A}風紀委員でやってくれないかって、先生が⋯	;然后，为，为了寻找犯人，{0A}老师拜托小田桐能不能做风纪委员……
E540_030.PTP	5	2	伏見 千尋	 {0A}>千尋は声を潜めている⋯	;{0A}>千寻的声音越来越小……
E540_030.PTP	6	0	小田桐 秀利	風紀を乱す輩を風紀委員が捜索する⋯{0A}至極当然の成り行きじゃないか。	;由风纪委员来搜索扰乱风纪之徒{0A}这不是理所当然的事情吗
E540_030.PTP	7	0	生徒会 書記男子	だって呑気に構えてられないぞ!	;但是这种事情不能坐视不理吧！
E540_030.PTP	7	1	生徒会 書記男子	 {0A}{F3 29 01 01 01 01}>書記の生徒は怒っている。	;{0A}{F3 29 01 01 01 01}>当书记的男生非常生气。
E540_030.PTP	7	2	生徒会 書記男子	生徒会 書記男子{0A}男子トイレのタバコの吸殻の犯人探しなんて⋯{0A}僕もお前も、もうこいつの中じゃ容疑者さ!	;学生会的担任书记的男生{0A}搜索在男生厕所吸烟的犯人……{0A}那么我和你现在对这家伙来说都是嫌疑人了不是吗！
E540_030.PTP	8	0	小田桐 秀利	言葉は選んで使ってくれたまえ。{0A}僕は刑事じゃない、風紀委員だ。	;请你注意自己的言辞。{0A}我是风纪委员，可不是刑警。
E540_030.PTP	9	0	小田桐 秀利	⋯期待する側の心情は二極だ。{0A}叶えば信頼、裏切れば不信。	;……期待他人的一方的心情容易陷入两个极端。{0A}实现期待的话就是信赖，没有实现的话就不再信赖。
E540_030.PTP	9	1	小田桐 秀利	有能であるがゆえに期待も集まる⋯{0A}お互い苦労するな、{F1 0A}君。	;拥有能力就会很容易因此被人期待……{0A}我们都很辛苦呢，{F1 0A}君。
E540_030.PTP	9	2	小田桐 秀利	 {0A}{F4 20 19 01 02 01 02 01}{F3 24 04 01 16 01}{F3 29 06 01 01 01}>小田桐から期待されているようだ。	;{0A}{F4 20 19 01 02 01 02 01}{F3 24 04 01 16 01}{F3 29 06 01 01 01}>似乎是被小田桐期待了。
E540_030.PTP	9	3	小田桐 秀利	>小田桐と仲が深まった気がした⋯	;感到与小田桐之间的关系加深了……
E540_030.PTP	10	0	生徒会 書記男子	お、おい! 俺を無視してんじゃねぇ!	;喂！不许无视我！
E540_030.PTP	10	1	生徒会 書記男子	あのイヌ野郎!!	;那个狗东西！
E540_030.PTP	11	0	<EMPTY>	>書記は小田桐を追いかけていった。	;>书记追着小田桐跑了出去。
E540_030.PTP	12	0	伏見 千尋	さん、私⋯その⋯{0A}密告は良くないと思うんです。	;我……那个……{0A}觉得打小报告是不好的。
E540_030.PTP	12	1	伏見 千尋	だから小田桐さんに⋯やめるようにって、{0A}それとなく言ってくれませんか?	;所以能不能……{0A}委婉地跟小田桐说不要再这样做了呢？
E540_030.PTP	13	0	<SELECT>	気が進まない	;没有兴趣
E540_030.PTP	13	1	<SELECT>	説得してみる	;试着说服一下
E540_030.PTP	14	0	伏見 千尋	そうですか⋯	    ;这样啊……
E540_030.PTP	14	1	伏見 千尋	 {0A}{F4 20 1A 01 02 01 05 01}{F3 29 01 01 01 01}>千尋は落ち込んでいるようだ。	;{0A}{F4 20 1A 01 02 01 05 01}{F3 29 01 01 01 01}>看上去千寻似乎有些失落。
