E760_101.PTP	0	0	<EMPTY>	>巌戸台駅前商店街{0A} 鍋島ラ‒メン"はがくれ"⋯	>岩户台站前商店街{0A} 锅岛拉面“叶隐”⋯
E760_101.PTP	0	1	<EMPTY>	>店内は、相変わらず{0A} 魚の匂いが立ち込めている。	>店内和往常一样，充满着鱼类的香气。
E760_101.PTP	0	2	<EMPTY>	>ひと時の美味しい時間が過ぎようとしている。	>在这里度过了一段美味的时光。
E760_101.PTP	1	0	末光 望美	⋯弟とボクね、二卵性の双子だったの。{0A}だから全然似てない⋯弟の方がイケてた。	⋯我和我弟弟是异卵双胞胎来着。{0A}所以我们一点也不像⋯弟弟他长得很帅气。
E760_101.PTP	1	1	末光 望美	"末光のブサイクな方"って言われて⋯{0A}いつも兄弟で比べられて⋯勝てなくて⋯	我总被人说“长得丑的那个就是末光了”，{0A}我们俩兄弟总是被拿来比较⋯而我从来没赢过⋯
E760_101.PTP	1	2	末光 望美	弟をさ、よく意味もなくぶってたんだ。{0A}でもあいつ、"兄ちゃん"って、ボクの事⋯!	所以我以前经常无缘无故就拿弟弟来撒气。{0A}但弟弟却还总是亲热地喊我“哥哥”⋯！
E760_101.PTP	2	0	末光 望美	中2の時に、一緒に買った肉まんを食べて{0A}⋯死んじゃった、食中毒で。	初中二年级时，我和弟弟一起买了肉包子吃⋯{0A}⋯然后弟弟就死了，死于食物中毒。
E760_101.PTP	2	1	末光 望美	弟が食べた方の肉まんだけが{0A}豚肉の加熱不足だったんだって⋯	据说因为只有弟弟吃的包子里面的猪肉{0A}没有被充分加热⋯
E760_101.PTP	2	2	末光 望美	ボクね、その時⋯泣けなかったんだ。{0A}正直ホっとしたよ⋯もう笑われずにすむって。	我当时⋯根本哭不出来。{0A}甚至还松了口气⋯觉得不会再被人嘲笑了。
E760_101.PTP	3	0	末光 望美	⋯ね? これがグルメキングの正体さ。{0A}コンプレックスの塊で食べる事に逃げてて⋯	⋯你明白了吧？这就是美食之王背后的真相。{0A}热衷美食只是为了逃避自己的自卑情结⋯
E760_101.PTP	3	1	末光 望美	こんなんじゃあ、一生かかっても{0A}弟の代わりになんて、なれやしないよね?	继续这样下去，{0A}我恐怕一辈子也没有办法代替弟弟吧？
E760_101.PTP	4	0	<SELECT>	お前はお前だ	你就是你
E760_101.PTP	4	1	<SELECT>	お前の代わりもいない	也没有人能代替你
E760_101.PTP	5	0	末光 望美	ボクはボク⋯? ボクは、ボク!?	我就是我⋯？我就是，我！？
E760_101.PTP	5	1	末光 望美	 {0A}{F3 24 02 01 17 01}{F3 29 10 01 01 01}>末光は衝撃を受けている。	 {0A}{F3 24 02 01 17 01}{F3 29 10 01 01 01}>末光的内心受到了冲击。
E760_101.PTP	6	0	末光 望美	ボクの代わり⋯代わりは⋯いない!?	也没有人能代替⋯代替⋯我！？
