msg_quest.PTP	0	0	<EMPTY>	つ入手せよ。	；得到（缺失的宾语）个。
msg_quest.PTP	1	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	2	0	<EMPTY>	人工島計画文書を入手せよ。	；得到人工岛计划文书。
msg_quest.PTP	3	0	<EMPTY>	が飲んでみたい。	；想喝（缺失的宾语）。
msg_quest.PTP	4	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	5	0	<EMPTY>	人工島計画文書を入手せよ·その2	；得到人工岛计划文书·其之2
msg_quest.PTP	6	0	<EMPTY>	ディアを持つジャックフロストを創造せよ。	；创造持有迪亚的杰克霜精。
msg_quest.PTP	7	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	8	0	<EMPTY>	タルカジャを持つヴァルキリ‒を創造せよ。	；创造持有塔尔卡加的女武神。
msg_quest.PTP	9	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	10	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	11	0	<EMPTY>	人工島計画文書を入手せよ·その3	；得到人工岛计划文书·其之3
msg_quest.PTP	12	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	13	0	<EMPTY>	不気味な巨大人形を入手せよ。	；得到不祥的巨大人偶。
msg_quest.PTP	14	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	15	0	<EMPTY>	レベル17以上のオベロンを創造せよ。	；创造17级以上的奥伯隆。
msg_quest.PTP	16	0	<EMPTY>	劇薬を持ってきて。	；带来剧药。
msg_quest.PTP	17	0	<EMPTY>	学校にちなんだ音楽CDが欲しい。	；想要和学校有关联的音乐CD。
msg_quest.PTP	18	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	19	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	20	0	<EMPTY>	人工島計画文書を入手せよ·その4	；得到人工岛计划文书·其之4
msg_quest.PTP	21	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	22	0	<EMPTY>	マハラギを持つヴェ‒タラを創造せよ。	；创造持有玛哈拉基的毗陀罗。
msg_quest.PTP	23	0	<EMPTY>	斬撃見切りを持つオルトロスを創造せよ。	；创造持有劈斩识破的欧特鲁斯。
msg_quest.PTP	24	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	25	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	26	0	<EMPTY>	人工島計画文書を入手せよ·その5	；得到人工岛计划文书·其之5
msg_quest.PTP	27	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	28	0	<EMPTY>	私の名前が付いた飲み物を探して欲しい。	；希望找来写有我名字的饮料。
msg_quest.PTP	29	0	<EMPTY>	レベル33以上のオオミツヌを創造せよ。	；创造33级以上的大御津濡。
msg_quest.PTP	30	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	31	0	<EMPTY>	謎のキレイなピ‒スを見てみたい。	；想看到迷之美丽的碎片。
msg_quest.PTP	32	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
msg_quest.PTP	33	0	<EMPTY>	を{F2 03 02 01}つ入手せよ。	；得到{F2 03 02 01}个（缺失的宾语）。
